timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1611771717866,4050,1 - Get all the shoes,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 1-1,text,false,Test failed: text expected to contain /[]/,2741,0,1,1,http://localhost:3000/shoes/,0,0,4049
1611771721937,4012,2 - Add a new shoe - id=2,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 1-1,text,false,Test failed: text expected to contain /Tompson Li/,2741,0,1,1,http://localhost:3000/shoes/,0,0,4012
1611771725951,4010,3 - Get the first shoe details,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 1-1,text,false,Test failed: text expected to contain /Tompson Li/,2741,0,1,1,http://localhost:3000/shoes/3,0,0,4010
1611771729963,4005,4 - Replace the first shoe details + add price,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 1-1,text,false,"Test failed: text expected to contain /""$10.00""/",2741,0,1,1,http://localhost:3000/shoes/3,0,0,4005
1611771733971,4007,5 - Update the title of the first shoe,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 1-1,text,false,,2741,0,1,1,http://localhost:3000/shoes/3,0,0,4007
1611771737980,4007,6 - Delete the first shoe,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group 1-1,text,false,,2741,0,1,1,http://localhost:3000/shoes/6,0,0,4007
